bare	accented	translations_en	translations_de
и	и	and	und; auch
в	в	in; at; into; to; for; on; within	in (Ort), im (Ort); zu (Ort), zum (Ort); um (Zeit); pro (mal)
не	не	not	nicht
он	он	he; it (masculine inanimate nouns)	er
на	на	on (place); on (day/week); on (transport means); to; onto, upon; at	auf (Objekt); in (Ort); auf (Bewegung dahin); dahin (Ort); für (Zeitdauer, Wert, Sinn); für/am (Zeit)
я	я	I	ich
что	что	what	was; dass
с	с	with; from; since; off, remove from	mit, und, von, aus, seit, ab, vor, etwa, ungefähr
а	а	and; but, yet; oh, ah, oh well	und, aber, dagegen, sondern
это	э'то	this is; that is; it	das
она	она'	she, it, he, she, it, he, she	sie
по	по	along, down; on the subject of; by the means of; hit or punch somewhere; after a age	auf, in, durch, über, laut, gemäß, entlang, längs, an, -halber, wegen, aus; bis (zeitl.), bis (räuml.), ugs.: für; nach (zeitl.)
но	но	but	aber; jedoch, sondern
они	они'	they	sie (Plural)
к	к	towards, to; visit someone	zu, an, gegenüber, gegen, um, bis zu
у	у	(possession); by, at (place); with; from (take, borrow)	bei, neben
из	из	from; out of	aus, von
мы	мы	we	wir
за	за	behind; at (location); at (direction); for (in support of); for (mistake for); for (reason); for (duration); following after, chasing after; over (a certain age); beyond, on the far side of; out of (location)	an / bei / hinter / nach + Dat.; an / gegen / hinter + Akk.; außerhalb / jenseits + Gen.; bei(m) / im / hinter + Instr.; für / um + Akk.; im Laufe von / in (binnen) / (da)nach + Dat.; um hinter + Gen.; während / wegen + Gen.
ты	ты	you	du
вы	вы	you (plural); you (formal)	ihr (Plural); Sie (höfliches Du)
так	так	so, thus, like this, this way, then	so, auf diese Weise
же	же	and, as for, but	denn / doch; aber, ja
от	от	from (away); from (part of a whole); from (cause); from (distance); from (someone); from (range); for, against a purpose	von, vor, aus, an, gegen
о	о	about; of; on; against	über
один	оди'н	one, 1; alone	eins, 1; ein; allein, einsam
ещё	ещё	still, yet, as far back as, as long ago as, only, some more	noch
бы	бы	would	würde, würdest, würden, würdet
только	то'лько	only; just, simply	nur, lediglich, bloß, jedoch; erst (jetzt) -> только что = eben erst, kaum (nachdem)
себя	себя'	ourselves, yourselves, himself, herself, itself, yourself, myself, themselves	sich, mich, dich
для	для	for	für
уже	уже'	already, by this time, by now, now, no longer	schon, bereits
когда	когда'	when, while, as	wann / wenn; als
кто	кто	who	wer
вот	вот	there, here, there is	da, hier
да	да	yes	ja; aber; und
если	е'сли	if	wenn, falls
до	до	to (direction); to (distance); before; until; up to (limit)	bis, bis an, bis zu, bis auf, gegen, ungerfähr, etwa, an die, vor, zu
или	и'ли	or	oder, denn
нет	нет	no; not	nein; nicht
ни	ни	neither; no	kein, nicht, nicht ein(e); weder ... noch
даже	да'же	even	sogar, selbst (dann), auch (dann)
под	под	under; below; underneath; to go down/below; to go/put under something; (impression, affection)	unter, in, bei, vor, gegen, für; in der Nähe von
где	где	where	wo
чтобы	что'бы	so that; in order to	um zu, (als) dass; damit
ну	ну	well	na, nun
два	два	two, 2	zwei, 2
чём	чём	Prepositional of 'что'; than; how	als, (an)statt; was, das
там	там	there, later, by and by	dort, da
ничто	ничто'	nothing, nought	nichts
потом	пото'м	afterwards, then, later on, later	nachher, später; und dann, dann, danach
очень	о'чень	very, very much, greatly	sehr
ли	ли	whether, if	ob
при	при	at; in the presence of; in the time of; with; (circumstantial)	an, bei, in Gegenwart während, in Anwesenheit, vor, zur Zeit, unter, in
надо	на'до	it is necessary; need	müssen, sollen; nötig sein, benötigen (brauchen); über
без	без	without; to (time)	ohne
теперь	тепе'рь	now, nowadays, today	nun (in diesem Augenblick); jetzt (gegenwärtig)
сейчас	сейча'с	now; soon; at once	jetzt, gerade, momentan, im Moment; sofort, augenblicklich
тоже	то'же	also, as well, too	auch, ebenfalls
после	по'сле	after, afterwards, later	nach, danach, hinterher
можно	мо'жно	one can, it is possible; may I, can I	man kann, es ist erlaubt, man darf
через	че'рез	across, over; through; through, using; in (time) (no more than)	über; (quer) durch; nach, in (soviel Zeit)
здесь	здесь	here, with us, in this country, about it, in it, at this point	hier, da
тогда	тогда'	then	dann, da; damals
ведь	ведь	you know; after all; even	doch, ja
почему	почему'	why	warum, weshalb
потому	потому'	because	deshalb, darum
просто	про'сто	it is simple, it is easy, simply; just, just only, only	einfach, leicht, simpel, unkompliziert
об	об	about, concerning	über, von; gegen
вдруг	вдруг	suddenly, all of a sudden	plötzlich, auf einmal
никто	никто'	nobody, no one	niemand, keiner
перед	пе'ред	in front of +instrumental case	vor, bevor
над	над	above, over	über; an
конечно	коне'чно	certainly; of course	natürlich, gewiss, klar, freilich, aber ja
три	три	three, 3	drei, 3
несколько	не'сколько	some, a few	einige, wenige, ein wenig, etwas, ein paar
пока	пока'	bye (informal); while	tschüss, bis bald, bis dann; bis; während, solange; vorerst, fürs erste
более	бо'лее	more	mehr
хорошо	хорошо'	it is good, it is pleasant, well, good	gut, schön
хотя	хотя'	though, although, even though	obwohl, obgleich, auch wenn
всегда	всегда'	always	immer
куда	куда'	wherever	wohin
сразу	сра'зу	immediately	sofort, augenblicklich, gleich, gleichzeitig, zugleich, auf einmal
совсем	совсе'м	completely; at all	ganz (ganz und gar), gänzlich, für immer; völlig
почти	почти'	almost, nearly	fast, beinahe
снова	сно'ва	again	wieder, erneut, abermals, von neuem, aufs neue
между	ме'жду	between	zwischen, unter
много	мно'го	a lot of, many	viel, zu viel, viele
лишь	лишь	only, as soon as	nur, erst
опять	опя'ть	again	wieder, erneut, wiederum
однако	одна'ко	however, though, but	aber, jedoch, doch
про	про	about, for	über; von
никогда	никогда'	never, ever	niemals, nie
будто	бу'дто	as if, as though	als ob, als wenn, als
именно	и'менно	exactly, namely, to wit, that is, just	genau, gerade, eben, ausgerechnet
вообще	вообще'	in general, generally, on the whole, always	überhaupt, im allgemeinen, im großen und ganzen
сегодня	сего'дня	today	heute
